package,version,status
@sbaiahmed1/react-native-biometrics,0.16.0,fail-newdsl
@segment/analytics-react-native-plugin-advertising-id,1.3.6,fail-newdsl
@seontechnologies/seon-react-native-mobile-wrapper,3.4.0,fail-newdsl
@simform_solutions/react-native-audio-waveform,2.1.6,fail-newdsl
@siteed/audio-studio,3.2.1,fail-newdsl
@splitsoftware/splitio-react-native,1.5.0,pass
@stream-io/react-native-callingx,0.11.0,fail-baseline
@stripe/stripe-identity-react-native,0.9.0,fail-baseline
@supersami/rn-foreground-service,2.2.5,pass
@survicate/react-native-survicate,8.3.2,fail-baseline
@theoplayer/react-native-engage,0.6.0,fail-newdsl
@tryvital/vital-core-react-native,6.0.2,fail-baseline
@tryvital/vital-health-react-native,6.0.2,fail-baseline
@ua/react-native-airship,26.12.0,fail-baseline
@usercentrics/react-native-sdk,2.30.0,fail-baseline
@veriff/react-native-sdk,13.2.0,fail-baseline
@xmartlabs/react-native-line,6.0.1,fail-baseline
airbridge-expo-sdk,4.10.0,fail-baseline
airbridge-react-native-sdk,4.10.0,fail-newdsl
appcenter,5.0.3,pass
clevertap-react-native,4.3.1,fail-newdsl
crisp-sdk-react-native,0.4.2,pass
expo-age-range,57.0.4,pass
expo-barcode-scanner,13.0.1,fail-baseline
expo-callkit-telecom,0.4.0,fail-baseline
expo-dev-menu,57.0.18,fail-baseline
expo-dynamic-app-icon,1.2.0,fail-baseline
expo-image-crop-tool,0.4.0,pass
expo-mlkit-ocr,0.2.7,pass
expo-network-addons,57.0.1,fail-baseline
expo-paste-input,0.2.2,pass
expo-pdf-text-extract,1.1.0,fail-newdsl
fast-mlkit-translate-text,1.0.3,pass
ffmpeg-kit-react-native,6.0.2,fail-baseline
freerasp-react-native,5.2.1,fail-baseline
launchdarkly-react-native-client-sdk,9.4.2,pass
react-native-a11y,0.9.0,pass
react-native-add-calendar-event,5.0.0,fail-baseline
react-native-advanced-input-mask,1.4.6,fail-newdsl
react-native-aes-crypto,3.3.0,pass
react-native-akamaibmp,2.2.2,fail-baseline
react-native-android-location-enabler,3.0.1,fail-baseline
react-native-android-open-settings,1.3.0,pass
react-native-applovin-max,9.6.0,pass
react-native-appstack-sdk,3.2.0,fail-newdsl
react-native-audio-record,0.2.2,pass
react-native-audio-recorder-player,4.5.0,fail-baseline
react-native-auto-skeleton,0.1.32,fail-newdsl
react-native-background-upload,6.6.0,fail-baseline
react-native-bluetooth-state-manager,2.0.4,fail-baseline
react-native-blurhash,2.1.3,fail-newdsl
react-native-calendar-events,2.2.0,pass
react-native-camera-kit,18.0.1,fail-newdsl
react-native-cashfree-pg-sdk,2.4.0,pass
react-native-change-icon,5.0.0,pass
react-native-cloud-storage,3.1.0,fail-newdsl
react-native-clusterer,5.0.2,fail-baseline
react-native-contacts,8.0.10,pass
react-native-crisp-chat-sdk,0.23.1,fail-newdsl
react-native-document-picker,9.3.1,fail-baseline
react-native-executorch,0.9.3,fail-newdsl
react-native-exit-app,2.0.0,pass
react-native-exponea-sdk,4.1.0,fail-newdsl
react-native-fast-opencv,1.0.1,fail-newdsl
react-native-fast-squircle,1.1.5,fail-baseline
react-native-filament,1.11.0,fail-baseline
react-native-file-access,4.0.3,fail-newdsl
react-native-file-viewer-turbo,0.7.5,fail-newdsl
react-native-floating-label-input,1.4.3,pass
react-native-freshchat-sdk,7.6.3,fail-baseline
react-native-gleapsdk,17.0.0,pass
react-native-image-resizer,1.4.5,pass
react-native-keep-awake,4.0.0,fail-baseline
react-native-klarna-inapp-sdk,2.8.2,fail-baseline
react-native-kochava-measurement,5.0.0,fail-newdsl
react-native-kochava-measurement-apple-tracking,5.0.0,fail-newdsl
react-native-kochava-measurement-google,5.0.0,fail-newdsl
react-native-kochava-measurement-google-tracking,5.0.0,fail-newdsl
react-native-libsodium,1.7.0,pass
react-native-localization,2.3.2,pass
react-native-localization-settings,1.2.0,fail-newdsl
react-native-mmkv-storage,12.0.1,fail-newdsl
react-native-moengage,12.9.1,fail-baseline
react-native-month-year-picker,1.9.0,pass
react-native-mparticle,3.3.3,fail-baseline
react-native-navigation-bar-color,2.0.2,fail-baseline
react-native-network-info,5.2.2,pass
react-native-nitro-cookies,1.2.0,fail-baseline
react-native-nitro-markdown,,fail-baseline
react-native-nitro-sound,0.2.19,fail-baseline
react-native-nitro-web-image,0.15.2,fail-baseline
react-native-notifications,5.2.2,fail-baseline
react-native-passkit-wallet,0.1.6,pass
react-native-pdf-thumbnail,1.3.1,fail-baseline
react-native-performance-limiter,0.3.0,fail-baseline
react-native-photo-manipulator,1.9.2,fail-newdsl
react-native-ping,1.2.8,pass
